object,size,speed-150,speed-180,speed-210
piw,1,1.2,1,0.9
raft,1,1.1,1,0.9
raft,4,1.1,1,0.9
raft,6,1.1,1,0.9
raft,8,1.1,1,0.9
raft,10,1.1,1,0.9
raft,15,1.1,1,0.9
raft,20,1.1,1,0.9
raft,25,1.1,1,0.9
boat_power,15,1.1,1,0.9
boat_power,20,1.1,1,0.9
boat_power,33,1.1,1,0.9
boat_power,53,1.1,1,1
boat_power,78,1.1,1,1
boat_sail,15,1.1,1,0.9
boat_sail,20,1.1,1,0.9
boat_sail,25,1.1,1,0.9
boat_sail,30,1.1,1,1
boat_sail,40,1.1,1,1
boat_sail,50,1.1,1,1
boat_sail,70,1.1,1,1
boat_sail,83,1.1,1,1
ship,120,1,1,1
ship,225,1,1,1
ship,300,1,1,1
