object,size,altitude,visibility-1,visibility-3,visibility-5,visibility-10,visibility-15,visibility-20,visibility-30
piw,1,300,0.1,0.1,0.1,0.1,0.1,0.1,0.1
raft,1,300,0.3,0.7,0.9,1.2,1.3,1.3,1.3
raft,4,300,0.4,0.9,1.3,1.7,2,2.2,2.2
raft,6,300,0.4,1.1,1.5,2.1,2.5,2.7,2.7
raft,8,300,0.4,1.2,1.6,2.3,2.6,2.9,2.9
raft,10,300,0.4,1.2,1.7,2.4,2.9,3.2,3.2
raft,15,300,0.5,1.3,1.9,2.7,3.2,3.5,4
raft,20,300,0.5,1.4,2.1,3.1,3.7,4.2,4.8
raft,25,300,0.5,1.5,2.2,3.4,4.1,4.6,5.2
boat_power,15,300,0.4,0.8,1.1,1.4,1.6,1.7,1.7
boat_power,20,300,0.5,1.6,2.4,3.5,4.3,4.8,4.8
boat_power,33,300,0.6,2.1,3.3,5.3,6.6,7.6,9.1
boat_power,53,300,0.6,2.6,4.5,8.1,10.9,13.1,16.4
boat_power,78,300,0.6,2.8,5,9.7,13.5,16.6,21.6
boat_sail,15,300,0.5,1.5,2.2,3.2,3.8,4.3,4.3
boat_sail,20,300,0.6,1.8,2.6,4,4.9,5.6,5.6
boat_sail,25,300,0.6,2,3.1,4.8,6,6.9,6.9
boat_sail,30,300,0.6,2.3,3.6,5.9,7.5,8.8,10.6
boat_sail,40,300,0.6,2.6,4.3,7.5,10,11.9,14.8
boat_sail,50,300,0.6,2.7,4.6,8.4,11.3,13.6,17.3
boat_sail,70,300,0.6,2.8,4.9,9.3,12.7,15.5,20
boat_sail,83,300,0.6,2.8,5.1,9.9,13.7,16.9,22.1
ship,120,300,0.6,2.9,5.4,11.1,15.9,20,26.9
ship,225,300,0.6,3,5.7,12.5,18.8,24.7,34.8
ship,300,300,0.7,3,5.8,13.2,20.6,27.9,41.4
piw,1,500,0,0.1,0.1,0.1,0.1,0.1,0.1
raft,1,500,0.3,0.7,0.9,1.2,1.4,1.4,1.4
raft,4,500,0.4,1,1.3,1.8,2,2.2,2.2
raft,6,500,0.4,1.1,1.5,2.2,2.5,2.8,2.8
raft,8,500,0.4,1.2,1.6,2.3,2.7,2.9,2.9
raft,10,500,0.4,1.2,1.7,2.5,2.9,3.2,3.2
raft,15,500,0.5,1.3,1.9,2.7,3.3,3.6,4
raft,20,500,0.5,1.5,2.1,3.2,3.8,4.2,4.8
raft,25,500,0.5,1.6,2.3,3.4,4.1,4.6,5.3
boat_power,15,500,0.4,0.9,1.2,1.5,1.7,1.8,1.8
boat_power,20,500,0.5,1.7,2.4,3.6,4.3,4.8,4.8
boat_power,33,500,0.6,2.1,3.3,5.3,6.7,7.7,9.1
boat_power,53,500,0.6,2.7,4.5,8.1,10.9,13.1,16.5
boat_power,78,500,0.6,2.8,5,9.8,13.5,16.7,21.7
boat_sail,15,500,0.5,1.6,2.2,3.2,3.9,4.3,4.3
boat_sail,20,500,0.6,1.8,2.7,4,5,5.6,5.6
boat_sail,25,500,0.6,2,3.1,4.9,6.1,7,7
boat_sail,30,500,0.6,2.3,3.6,5.9,7.6,8.8,10.6
boat_sail,40,500,0.6,2.6,4.3,7.6,10,11.9,14.8
boat_sail,50,500,0.6,2.7,4.6,8.4,11.3,13.7,17.3
boat_sail,70,500,0.6,2.8,4.9,9.3,12.7,15.5,20
boat_sail,83,500,0.6,2.8,5.1,9.9,13.7,17,22.1
ship,120,500,0.6,2.9,5.4,11.1,15.9,20.1,26.9
ship,225,500,0.6,3,5.7,12.5,18.9,24.7,34.8
ship,300,500,0.7,3,5.8,13.2,20.6,27.9,41.4
piw,1,750,0.1,0.1,0.1,0.1,0.1,0.1,0.1
raft,1,750,0.3,0.7,0.9,1.2,1.4,1.4,1.4
raft,4,750,0.4,1,1.3,1.8,2.1,2.2,2.2
raft,6,750,0.4,1.1,1.6,2.2,2.6,2.8,2.8
raft,8,750,0.4,1.2,1.7,2.3,2.7,3,3
raft,10,750,0.4,1.3,1.8,2.5,3,3.3,3.3
raft,15,750,0.4,1.4,1.9,2.8,3.3,3.7,4.1
raft,20,750,0.5,1.5,2.2,3.2,3.8,4.3,4.9
raft,25,750,0.5,1.6,2.3,3.5,4.2,4.7,5.4
boat_power,15,750,0.4,0.9,1.2,1.6,1.8,1.9,1.9
boat_power,20,750,0.5,1.7,2.4,3.6,4.4,4.9,4.9
boat_power,33,750,0.6,2.1,3.3,5.3,6.7,7.7,9.2
boat_power,53,750,0.6,2.7,4.5,8.2,10.9,13.1,16.5
boat_power,78,750,0.6,2.8,5,9.8,13.5,16.7,21.7
boat_sail,15,750,0.5,1.6,2.3,3.3,3.9,4.4,4.4
boat_sail,20,750,0.5,1.8,2.7,4.1,5,5.7,5.7
boat_sail,25,750,0.6,2.1,3.1,5,6.2,7,7
boat_sail,30,750,0.6,2.3,3.6,6,7.5,8.9,10.7
boat_sail,40,750,0.6,2.6,4.3,7.6,10,11.9,14.9
boat_sail,50,750,0.6,2.7,4.6,8.5,11.4,13.7,17.4
boat_sail,70,750,0.6,2.8,4.9,9.3,12.7,15.6,20
boat_sail,83,750,0.6,2.8,5.1,9.9,13.8,17,22.2
ship,120,750,0.6,2.9,5.4,11.1,15.9,20.1,27
ship,225,750,0.6,3,5.7,12.5,18.9,24.7,34.9
ship,300,750,0.7,3,5.8,13.2,20.6,27.9,41.4
piw,1,1000,0,0.1,0.1,0.1,0.1,0.1,0.1
raft,1,1000,0.3,0.7,0.9,1.2,1.4,1.4,1.4
raft,4,1000,0.3,1,1.3,1.8,2.1,2.3,2.3
raft,6,1000,0.4,1.1,1.6,2.2,2.6,2.8,2.8
raft,8,1000,0.4,1.2,1.7,2.4,2.8,3,3
